choice,other_choice,pid,role,round,session_code,treatment
2,1,emyx425p,col,29,3apd5c4u,positive
0,2,emyx425p,col,30,3apd5c4u,positive
0,1,emyx425p,col,31,3apd5c4u,positive
1,2,emyx425p,col,32,3apd5c4u,positive
2,2,emyx425p,col,33,3apd5c4u,positive
1,2,emyx425p,col,34,3apd5c4u,positive
2,2,emyx425p,col,35,3apd5c4u,positive
0,1,emyx425p,col,36,3apd5c4u,positive
1,0,emyx425p,col,37,3apd5c4u,positive
0,1,emyx425p,col,38,3apd5c4u,positive
0,1,emyx425p,col,39,3apd5c4u,positive
1,1,emyx425p,col,40,3apd5c4u,positive
0,0,emyx425p,col,41,3apd5c4u,positive
2,0,emyx425p,col,42,3apd5c4u,positive
1,1,emyx425p,col,43,3apd5c4u,positive
0,1,emyx425p,col,44,3apd5c4u,positive
0,2,emyx425p,col,45,3apd5c4u,positive
2,2,emyx425p,col,46,3apd5c4u,positive
2,1,emyx425p,col,47,3apd5c4u,positive
2,2,emyx425p,col,48,3apd5c4u,positive
2,2,emyx425p,col,49,3apd5c4u,positive
1,0,emyx425p,col,50,3apd5c4u,positive
1,2,zofgeoqv,row,1,3apd5c4u,positive
2,0,zofgeoqv,row,2,3apd5c4u,positive
2,0,zofgeoqv,row,3,3apd5c4u,positive
2,2,zofgeoqv,row,4,3apd5c4u,positive
1,0,zofgeoqv,row,5,3apd5c4u,positive
0,0,zofgeoqv,row,6,3apd5c4u,positive
2,1,zofgeoqv,row,7,3apd5c4u,positive
2,1,zofgeoqv,row,8,3apd5c4u,positive
2,2,zofgeoqv,row,9,3apd5c4u,positive
2,2,zofgeoqv,row,10,3apd5c4u,positive
2,0,zofgeoqv,row,11,3apd5c4u,positive
1,2,zofgeoqv,row,12,3apd5c4u,positive
0,0,zofgeoqv,row,13,3apd5c4u,positive
1,1,zofgeoqv,row,14,3apd5c4u,positive
1,2,zofgeoqv,row,15,3apd5c4u,positive
1,0,zofgeoqv,row,16,3apd5c4u,positive
0,0,zofgeoqv,row,17,3apd5c4u,positive
1,0,zofgeoqv,row,18,3apd5c4u,positive
2,0,zofgeoqv,row,19,3apd5c4u,positive
2,2,zofgeoqv,row,20,3apd5c4u,positive
1,2,zofgeoqv,row,21,3apd5c4u,positive
0,1,zofgeoqv,row,22,3apd5c4u,positive
1,0,zofgeoqv,row,23,3apd5c4u,positive
2,2,zofgeoqv,row,24,3apd5c4u,positive
2,2,zofgeoqv,row,25,3apd5c4u,positive
2,2,zofgeoqv,row,26,3apd5c4u,positive
0,0,zofgeoqv,row,27,3apd5c4u,positive
2,2,zofgeoqv,row,28,3apd5c4u,positive
1,0,zofgeoqv,row,29,3apd5c4u,positive
2,0,zofgeoqv,row,30,3apd5c4u,positive
1,2,zofgeoqv,row,31,3apd5c4u,positive
1,2,zofgeoqv,row,32,3apd5c4u,positive
2,0,zofgeoqv,row,33,3apd5c4u,positive
2,1,zofgeoqv,row,34,3apd5c4u,positive
2,2,zofgeoqv,row,35,3apd5c4u,positive
1,0,zofgeoqv,row,36,3apd5c4u,positive
0,0,zofgeoqv,row,37,3apd5c4u,positive
1,2,zofgeoqv,row,38,3apd5c4u,positive
2,0,zofgeoqv,row,39,3apd5c4u,positive
1,1,zofgeoqv,row,40,3apd5c4u,positive
0,0,zofgeoqv,row,41,3apd5c4u,positive
0,1,zofgeoqv,row,42,3apd5c4u,positive
1,2,zofgeoqv,row,43,3apd5c4u,positive
1,1,zofgeoqv,row,44,3apd5c4u,positive
2,0,zofgeoqv,row,45,3apd5c4u,positive
2,0,zofgeoqv,row,46,3apd5c4u,positive
1,2,zofgeoqv,row,47,3apd5c4u,positive
1,2,zofgeoqv,row,48,3apd5c4u,positive
2,2,zofgeoqv,row,49,3apd5c4u,positive
0,1,zofgeoqv,row,50,3apd5c4u,positive
0,1,ot3uy1we,col,1,3apd5c4u,positive
1,2,ot3uy1we,col,2,3apd5c4u,positive
0,2,ot3uy1we,col,3,3apd5c4u,positive
2,1,ot3uy1we,col,4,3apd5c4u,positive
1,1,ot3uy1we,col,5,3apd5c4u,positive
1,0,ot3uy1we,col,6,3apd5c4u,positive
2,2,ot3uy1we,col,7,3apd5c4u,positive
2,2,ot3uy1we,col,8,3apd5c4u,positive
1,0,ot3uy1we,col,9,3apd5c4u,positive
1,1,ot3uy1we,col,10,3apd5c4u,positive
0,2,ot3uy1we,col,11,3apd5c4u,positive
2,1,ot3uy1we,col,12,3apd5c4u,positive
0,0,ot3uy1we,col,13,3apd5c4u,positive
1,1,ot3uy1we,col,14,3apd5c4u,positive
2,1,ot3uy1we,col,15,3apd5c4u,positive
0,1,ot3uy1we,col,16,3apd5c4u,positive
0,0,ot3uy1we,col,17,3apd5c4u,positive
0,1,ot3uy1we,col,18,3apd5c4u,positive
0,2,ot3uy1we,col,19,3apd5c4u,positive
0,2,ot3uy1we,col,20,3apd5c4u,positive
2,1,ot3uy1we,col,21,3apd5c4u,positive
2,1,ot3uy1we,col,22,3apd5c4u,positive
0,1,ot3uy1we,col,23,3apd5c4u,positive
1,2,ot3uy1we,col,24,3apd5c4u,positive
2,2,ot3uy1we,col,25,3apd5c4u,positive
2,2,ot3uy1we,col,26,3apd5c4u,positive
2,0,ot3uy1we,col,27,3apd5c4u,positive
2,1,ot3uy1we,col,28,3apd5c4u,positive
0,1,ot3uy1we,col,29,3apd5c4u,positive
2,2,ot3uy1we,col,30,3apd5c4u,positive
0,1,ot3uy1we,col,31,3apd5c4u,positive
1,1,ot3uy1we,col,32,3apd5c4u,positive
2,2,ot3uy1we,col,33,3apd5c4u,positive
1,2,ot3uy1we,col,34,3apd5c4u,positive
2,2,ot3uy1we,col,35,3apd5c4u,positive
0,1,ot3uy1we,col,36,3apd5c4u,positive
1,1,ot3uy1we,col,37,3apd5c4u,positive
2,1,ot3uy1we,col,38,3apd5c4u,positive
1,2,ot3uy1we,col,39,3apd5c4u,positive
1,1,ot3uy1we,col,40,3apd5c4u,positive
0,1,ot3uy1we,col,41,3apd5c4u,positive
1,1,ot3uy1we,col,42,3apd5c4u,positive
2,1,ot3uy1we,col,43,3apd5c4u,positive
1,1,ot3uy1we,col,44,3apd5c4u,positive
0,2,ot3uy1we,col,45,3apd5c4u,positive
2,0,ot3uy1we,col,46,3apd5c4u,positive
2,1,ot3uy1we,col,47,3apd5c4u,positive
2,1,ot3uy1we,col,48,3apd5c4u,positive
1,2,ot3uy1we,col,49,3apd5c4u,positive
0,0,ot3uy1we,col,50,3apd5c4u,positive
1,0,ru3rawbk,row,1,3apd5c4u,positive
2,0,ru3rawbk,row,2,3apd5c4u,positive
2,0,ru3rawbk,row,3,3apd5c4u,positive
2,2,ru3rawbk,row,4,3apd5c4u,positive
1,0,ru3rawbk,row,5,3apd5c4u,positive
1,0,ru3rawbk,row,6,3apd5c4u,positive
2,1,ru3rawbk,row,7,3apd5c4u,positive
0,2,ru3rawbk,row,8,3apd5c4u,positive
0,1,ru3rawbk,row,9,3apd5c4u,positive
1,2,ru3rawbk,row,10,3apd5c4u,positive
2,0,ru3rawbk,row,11,3apd5c4u,positive
1,2,ru3rawbk,row,12,3apd5c4u,positive
0,0,ru3rawbk,row,13,3apd5c4u,positive
1,0,ru3rawbk,row,14,3apd5c4u,positive
1,2,ru3rawbk,row,15,3apd5c4u,positive
1,2,ru3rawbk,row,16,3apd5c4u,positive
0,0,ru3rawbk,row,17,3apd5c4u,positive
1,0,ru3rawbk,row,18,3apd5c4u,positive
2,0,ru3rawbk,row,19,3apd5c4u,positive
1,2,ru3rawbk,row,20,3apd5c4u,positive
1,0,ru3rawbk,row,21,3apd5c4u,positive
0,1,ru3rawbk,row,22,3apd5c4u,positive
1,0,ru3rawbk,row,23,3apd5c4u,positive
2,1,ru3rawbk,row,24,3apd5c4u,positive
2,2,ru3rawbk,row,25,3apd5c4u,positive
2,0,ru3rawbk,row,26,3apd5c4u,positive
0,0,ru3rawbk,row,27,3apd5c4u,positive
1,2,ru3rawbk,row,28,3apd5c4u,positive
1,0,ru3rawbk,row,29,3apd5c4u,positive
2,0,ru3rawbk,row,30,3apd5c4u,positive
0,2,ru3rawbk,row,31,3apd5c4u,positive
1,2,ru3rawbk,row,32,3apd5c4u,positive
1,0,ru3rawbk,row,33,3apd5c4u,positive
1,1,ru3rawbk,row,34,3apd5c4u,positive
0,2,ru3rawbk,row,35,3apd5c4u,positive
1,0,ru3rawbk,row,36,3apd5c4u,positive
1,0,ru3rawbk,row,37,3apd5c4u,positive
1,0,ru3rawbk,row,38,3apd5c4u,positive
2,0,ru3rawbk,row,39,3apd5c4u,positive
2,1,ru3rawbk,row,40,3apd5c4u,positive
1,0,ru3rawbk,row,41,3apd5c4u,positive
0,1,ru3rawbk,row,42,3apd5c4u,positive
1,1,ru3rawbk,row,43,3apd5c4u,positive
2,1,ru3rawbk,row,44,3apd5c4u,positive
0,0,ru3rawbk,row,45,3apd5c4u,positive
0,2,ru3rawbk,row,46,3apd5c4u,positive
1,2,ru3rawbk,row,47,3apd5c4u,positive
0,2,ru3rawbk,row,48,3apd5c4u,positive
2,2,ru3rawbk,row,49,3apd5c4u,positive
0,1,ru3rawbk,row,50,3apd5c4u,positive
0,0,1typemr4,row,1,3apd5c4u,positive
0,0,1typemr4,row,2,3apd5c4u,positive
2,0,1typemr4,row,3,3apd5c4u,positive
1,1,1typemr4,row,4,3apd5c4u,positive
1,1,1typemr4,row,5,3apd5c4u,positive
2,0,1typemr4,row,6,3apd5c4u,positive
1,1,1typemr4,row,7,3apd5c4u,positive
1,2,1typemr4,row,8,3apd5c4u,positive
1,2,1typemr4,row,9,3apd5c4u,positive
2,1,1typemr4,row,10,3apd5c4u,positive
1,0,1typemr4,row,11,3apd5c4u,positive
1,2,1typemr4,row,12,3apd5c4u,positive
2,0,1typemr4,row,13,3apd5c4u,positive
0,1,1typemr4,row,14,3apd5c4u,positive
1,2,1typemr4,row,15,3apd5c4u,positive
1,0,1typemr4,row,16,3apd5c4u,positive
1,0,1typemr4,row,17,3apd5c4u,positive
2,0,1typemr4,row,18,3apd5c4u,positive
0,0,1typemr4,row,19,3apd5c4u,positive
1,2,1typemr4,row,20,3apd5c4u,positive
0,2,1typemr4,row,21,3apd5c4u,positive
2,2,1typemr4,row,22,3apd5c4u,positive
1,0,1typemr4,row,23,3apd5c4u,positive
1,1,1typemr4,row,24,3apd5c4u,positive
2,2,1typemr4,row,25,3apd5c4u,positive
2,0,1typemr4,row,26,3apd5c4u,positive
1,2,1typemr4,row,27,3apd5c4u,positive
0,2,1typemr4,row,28,3apd5c4u,positive
0,0,1typemr4,row,29,3apd5c4u,positive
2,0,1typemr4,row,30,3apd5c4u,positive
0,0,1typemr4,row,31,3apd5c4u,positive
1,1,1typemr4,row,32,3apd5c4u,positive
1,0,1typemr4,row,33,3apd5c4u,positive
2,2,1typemr4,row,34,3apd5c4u,positive
0,2,1typemr4,row,35,3apd5c4u,positive
1,0,1typemr4,row,36,3apd5c4u,positive
1,1,1typemr4,row,37,3apd5c4u,positive
2,2,1typemr4,row,38,3apd5c4u,positive
1,0,1typemr4,row,39,3apd5c4u,positive
2,1,1typemr4,row,40,3apd5c4u,positive
2,0,1typemr4,row,41,3apd5c4u,positive
1,2,1typemr4,row,42,3apd5c4u,positive
1,2,1typemr4,row,43,3apd5c4u,positive
1,1,1typemr4,row,44,3apd5c4u,positive
1,0,1typemr4,row,45,3apd5c4u,positive
2,2,1typemr4,row,46,3apd5c4u,positive
1,2,1typemr4,row,47,3apd5c4u,positive
2,1,1typemr4,row,48,3apd5c4u,positive
1,1,1typemr4,row,49,3apd5c4u,positive
2,0,1typemr4,row,50,3apd5c4u,positive
0,1,0dhsb7hs,col,1,3apd5c4u,positive
1,2,0dhsb7hs,col,2,3apd5c4u,positive
0,2,0dhsb7hs,col,3,3apd5c4u,positive
1,1,0dhsb7hs,col,4,3apd5c4u,positive
0,1,0dhsb7hs,col,5,3apd5c4u,positive
0,0,0dhsb7hs,col,6,3apd5c4u,positive
1,2,0dhsb7hs,col,7,3apd5c4u,positive
0,2,0dhsb7hs,col,8,3apd5c4u,positive
1,1,0dhsb7hs,col,9,3apd5c4u,positive
1,2,0dhsb7hs,col,10,3apd5c4u,positive
0,2,0dhsb7hs,col,11,3apd5c4u,positive
2,1,0dhsb7hs,col,12,3apd5c4u,positive
1,0,0dhsb7hs,col,13,3apd5c4u,positive
0,1,0dhsb7hs,col,14,3apd5c4u,positive
2,2,0dhsb7hs,col,15,3apd5c4u,positive
0,1,0dhsb7hs,col,16,3apd5c4u,positive
0,0,0dhsb7hs,col,17,3apd5c4u,positive
1,1,0dhsb7hs,col,18,3apd5c4u,positive
0,2,0dhsb7hs,col,19,3apd5c4u,positive
2,2,0dhsb7hs,col,20,3apd5c4u,positive
2,1,0dhsb7hs,col,21,3apd5c4u,positive
2,1,0dhsb7hs,col,22,3apd5c4u,positive
0,1,0dhsb7hs,col,23,3apd5c4u,positive
1,2,0dhsb7hs,col,24,3apd5c4u,positive
2,2,0dhsb7hs,col,25,3apd5c4u,positive
2,2,0dhsb7hs,col,26,3apd5c4u,positive
2,0,0dhsb7hs,col,27,3apd5c4u,positive
2,2,0dhsb7hs,col,28,3apd5c4u,positive
2,1,0dhsb7hs,col,29,3apd5c4u,positive
0,2,0dhsb7hs,col,30,3apd5c4u,positive
0,0,0dhsb7hs,col,31,3apd5c4u,positive
2,1,0dhsb7hs,col,32,3apd5c4u,positive
0,2,0dhsb7hs,col,33,3apd5c4u,positive
2,1,0dhsb7hs,col,34,3apd5c4u,positive
2,2,0dhsb7hs,col,35,3apd5c4u,positive
0,1,0dhsb7hs,col,36,3apd5c4u,positive
1,1,0dhsb7hs,col,37,3apd5c4u,positive
2,1,0dhsb7hs,col,38,3apd5c4u,positive
0,1,0dhsb7hs,col,39,3apd5c4u,positive
1,1,0dhsb7hs,col,40,3apd5c4u,positive
0,0,0dhsb7hs,col,41,3apd5c4u,positive
2,1,0dhsb7hs,col,42,3apd5c4u,positive
1,1,0dhsb7hs,col,43,3apd5c4u,positive
0,1,0dhsb7hs,col,44,3apd5c4u,positive
0,2,0dhsb7hs,col,45,3apd5c4u,positive
2,0,0dhsb7hs,col,46,3apd5c4u,positive
2,1,0dhsb7hs,col,47,3apd5c4u,positive
1,0,0dhsb7hs,col,48,3apd5c4u,positive
1,2,0dhsb7hs,col,49,3apd5c4u,positive
1,0,0dhsb7hs,col,50,3apd5c4u,positive
1,0,pf89yu99,row,1,3apd5c4u,positive
0,1,pf89yu99,row,2,3apd5c4u,positive
0,0,pf89yu99,row,3,3apd5c4u,positive
1,1,pf89yu99,row,4,3apd5c4u,positive
1,0,pf89yu99,row,5,3apd5c4u,positive
1,1,pf89yu99,row,6,3apd5c4u,positive
2,1,pf89yu99,row,7,3apd5c4u,positive
0,1,pf89yu99,row,8,3apd5c4u,positive
2,1,pf89yu99,row,9,3apd5c4u,positive
1,1,pf89yu99,row,10,3apd5c4u,positive
0,0,pf89yu99,row,11,3apd5c4u,positive
0,2,pf89yu99,row,12,3apd5c4u,positive
2,0,pf89yu99,row,13,3apd5c4u,positive
1,0,pf89yu99,row,14,3apd5c4u,positive
1,2,pf89yu99,row,15,3apd5c4u,positive
1,0,pf89yu99,row,16,3apd5c4u,positive
1,0,pf89yu99,row,17,3apd5c4u,positive
1,1,pf89yu99,row,18,3apd5c4u,positive
1,0,pf89yu99,row,19,3apd5c4u,positive
1,2,pf89yu99,row,20,3apd5c4u,positive
1,2,pf89yu99,row,21,3apd5c4u,positive
1,2,pf89yu99,row,22,3apd5c4u,positive
1,0,pf89yu99,row,23,3apd5c4u,positive
2,1,pf89yu99,row,24,3apd5c4u,positive
1,2,pf89yu99,row,25,3apd5c4u,positive
0,2,pf89yu99,row,26,3apd5c4u,positive
0,2,pf89yu99,row,27,3apd5c4u,positive
1,2,pf89yu99,row,28,3apd5c4u,positive
1,2,pf89yu99,row,29,3apd5c4u,positive
2,2,pf89yu99,row,30,3apd5c4u,positive
2,0,pf89yu99,row,31,3apd5c4u,positive
1,1,pf89yu99,row,32,3apd5c4u,positive
2,2,pf89yu99,row,33,3apd5c4u,positive
2,1,pf89yu99,row,34,3apd5c4u,positive
2,2,pf89yu99,row,35,3apd5c4u,positive
1,0,pf89yu99,row,36,3apd5c4u,positive
0,0,pf89yu99,row,37,3apd5c4u,positive
1,2,pf89yu99,row,38,3apd5c4u,positive
1,1,pf89yu99,row,39,3apd5c4u,positive
1,1,pf89yu99,row,40,3apd5c4u,positive
1,0,pf89yu99,row,41,3apd5c4u,positive
1,1,pf89yu99,row,42,3apd5c4u,positive
1,1,pf89yu99,row,43,3apd5c4u,positive
1,1,pf89yu99,row,44,3apd5c4u,positive
1,0,pf89yu99,row,45,3apd5c4u,positive
0,2,pf89yu99,row,46,3apd5c4u,positive
1,2,pf89yu99,row,47,3apd5c4u,positive
1,2,pf89yu99,row,48,3apd5c4u,positive
1,2,pf89yu99,row,49,3apd5c4u,positive
0,1,pf89yu99,row,50,3apd5c4u,positive
